QrLBD,rna_id,gene_id,SRR1778917,SRR1778919,SRR1778921,SRR1778922,SRR1778923,SRR1778925,SRR1778927,SRR1778929,SRR1778930,SRR1778931,SRR1778932
QrLBD1,rna-Qurub.01G008700.1.v2.1,gene-RGQ29_000087,40,0,0,41,0,0,5,0,0,20,19
QrLBD2,rna-Qurub.01G026200.1.v2.1,gene-RGQ29_000262,0,0,0,0,0,0,0,0,0,0,0
QrLBD3,rna-Qurub.01G031900.1.v2.1,gene-RGQ29_000319,0,0,0,0,5,0,2,0,0,0,0
QrLBD4,rna-Qurub.01G045900.1.v2.1,gene-RGQ29_000459,46,12,97,534,94,17,243,167,84,202,43
QrLBD5,rna-Qurub.01G089600.1.v2.1,gene-RGQ29_000896,11,0,7,6,11,2,18,6,5,9,7
QrLBD6,rna-Qurub.02G006000.1.v2.1,gene-RGQ29_009235,0,0,0,0,0,82,0,0,0,2,0
QrLBD7,rna-Qurub.02G211900.1.v2.1,gene-RGQ29_011294,151,9,526,3075,395,497,1108,523,376,3998,186
QrLBD8,rna-Qurub.02G241600.1.v2.1,gene-RGQ29_011591,0,0,0,0,0,0,0,0,0,0,0
QrLBD9,rna-Qurub.02G301700.1.v2.1,gene-RGQ29_012192,71,4,58,5425,370,13,674,63,45,4669,346
QrLBD10,rna-Qurub.02G327400.1.v2.1,gene-RGQ29_012449,0,0,0,0,0,0,0,0,0,0,0
QrLBD11,rna-Qurub.04G220200.1.v2.1,gene-RGQ29_018332,29,0,1099,81,762,7,1421,249,460,58,383
QrLBD12,rna-Qurub.04G249400.1.v2.1,gene-RGQ29_018624,0,0,0,0,0,0,0,0,0,0,0
QrLBD13,rna-Qurub.05G016800.1.v2.1,gene-RGQ29_018955,0,0,0,0,0,0,0,0,0,0,0
QrLBD14,rna-Qurub.05G016900.1.v2.1,gene-RGQ29_018956,0,0,0,0,0,0,0,0,0,0,0
QrLBD15,rna-Qurub.05G017000.1.v2.1,gene-RGQ29_018957,0,0,0,0,0,0,0,2,0,0,0
QrLBD16,rna-Qurub.05G017100.1.v2.1,gene-RGQ29_018958,0,0,0,0,0,0,0,0,0,0,0
QrLBD17,rna-Qurub.05G017300.1.v2.1,gene-RGQ29_018960,0,0,0,0,0,0,0,0,0,0,0
QrLBD18,rna-Qurub.05G017700.1.v2.1,gene-RGQ29_018964,0,0,0,0,0,0,0,0,0,0,0
QrLBD19,rna-Qurub.05G099900.1.v2.1,gene-RGQ29_019786,30,4,131,50,54,0,176,65,60,128,61
QrLBD20,rna-Qurub.05G253500.1.v2.1,gene-RGQ29_021322,6,0,0,0,0,1122,5,0,0,0,0
QrLBD21,rna-Qurub.06G061100.1.v2.1,gene-RGQ29_022295,5,0,0,0,0,797,0,0,0,0,0
QrLBD22,rna-Qurub.06G061200.2.v2.1,gene-RGQ29_022296,24,0,12,49,10,358,13,18,9,55,45
QrLBD23,rna-Qurub.06G061500.1.v2.1,gene-RGQ29_022299,0,0,2,2,0,4,6,4,0,8,0
QrLBD24,rna-Qurub.06G081500.1.v2.1,gene-RGQ29_022499,258,18,42,1278,623,625,2455,79,28,1078,563
QrLBD25,rna-Qurub.07G061200.1.v2.1,gene-RGQ29_024878,0,0,0,11,0,25,0,0,0,16,0
QrLBD26,rna-Qurub.08G160300.1.v2.1,gene-RGQ29_028005,0,0,0,0,0,70,0,0,0,0,0
QrLBD27,rna-Qurub.08G185800.1.v2.1,gene-RGQ29_028260,0,3,0,4,0,7,6,17,0,15,10
QrLBD28,rna-Qurub.08G217900.1.v2.1,gene-RGQ29_028581,5,0,10,35,6,21,33,4,8,31,0
QrLBD29,rna-Qurub.08G218000.1.v2.1,gene-RGQ29_028582,0,0,2,3,11,3,21,15,0,9,13
QrLBD30,rna-Qurub.08G266300.1.v2.1,gene-RGQ29_029065,0,0,0,0,0,0,7,3,0,0,11
QrLBD31,rna-Qurub.08G288800.1.v2.1,gene-RGQ29_029290,113,74,52,3529,84,27,167,68,22,2692,75
QrLBD32,rna-Qurub.08G291100.1.v2.1,gene-RGQ29_029313,0,0,0,47,8,0,9,2,0,12,140
QrLBD33,rna-Qurub.08G295100.1.v2.1,gene-RGQ29_029353,0,8,13,13,62,22,78,11,9,10,0
QrLBD34,rna-Qurub.09G077600.1.v2.1,gene-RGQ29_030226,0,0,0,0,0,0,0,0,0,0,0
QrLBD35,rna-Qurub.09G108800.1.v2.1,gene-RGQ29_030538,0,0,0,0,0,0,0,0,2,0,2
QrLBD36,rna-Qurub.09G166700.1.v2.1,gene-RGQ29_031117,8,0,39,9,0,26,11,12,6,60,0
QrLBD37,rna-Qurub.09G166800.1.v2.1,gene-RGQ29_031118,0,0,0,0,0,0,0,0,0,0,3
QrLBD38,rna-Qurub.10G119300.1.v2.1,gene-RGQ29_003467,0,0,0,306,24,179,113,14,8,373,12
QrLBD39,rna-Qurub.10G169600.1.v2.1,gene-RGQ29_003970,3,0,0,0,4,3267,0,0,0,0,0
QrLBD40,rna-Qurub.10G195300.2.v2.1,gene-RGQ29_004227,42,0,6,759,71,47,100,30,13,752,65
QrLBD41,rna-Qurub.11G111700.1.v2.1,gene-RGQ29_005754,0,0,0,0,0,15,0,0,0,0,0
QrLBD42,rna-Qurub.12G179700.1.v2.1,gene-RGQ29_008846,14,0,0,328,480,391,553,14,7,307,43
