gene_id,SRR1778917,SRR1778919,SRR1778921,SRR1778922,SRR1778923,SRR1778925,SRR1778927,SRR1778929,SRR1778930,SRR1778931,SRR1778932
gene-RGQ29_000002,4,3,35,58,20,17,28,24,18,29,17
gene-RGQ29_000079,0,0,2,13,0,0,0,0,0,7,0
gene-RGQ29_000080,0,0,0,1,0,0,0,0,0,1,0
gene-RGQ29_000081,86,142,396,797,164,152,299,278,196,513,366
gene-RGQ29_000078,81,124,429,677,142,142,312,312,231,549,395
gene-RGQ29_000083,0,0,104,830,48,3,145,44,59,462,0
gene-RGQ29_000085,468,270,549,811,227,874,557,416,236,856,545
gene-RGQ29_000086,0,0,0,0,0,265,0,0,0,0,0
gene-RGQ29_000087,40,0,0,41,0,0,5,0,0,20,19
gene-RGQ29_000091,0,0,1,1,0,0,0,0,0,0,0
gene-RGQ29_000092,0,0,0,0,0,0,0,0,0,0,0
gene-RGQ29_000094,0,5,1,0,0,0,2,0,2,2,0
gene-RGQ29_000089,283,220,840,1410,313,948,598,675,429,1090,343
gene-RGQ29_000090,66,47,190,274,81,171,147,109,99,222,50
gene-RGQ29_000093,293,454,1045,1449,273,796,712,787,498,1090,355
gene-RGQ29_000095,258,575,2252,1754,581,458,1801,1401,1058,1818,1778
gene-RGQ29_000096,295,365,962,1540,358,1399,1185,682,508,1414,1521
gene-RGQ29_000097,834,368,647,864,160,774,443,681,394,841,548
gene-RGQ29_000098,0,0,3,0,0,0,6,2,0,0,0
gene-RGQ29_000099,162,189,375,713,129,186,388,214,246,669,459
gene-RGQ29_000100,43,110,1019,523,174,45,624,491,371,405,383
gene-RGQ29_000102,0,0,0,0,86,0,162,0,0,0,0
gene-RGQ29_000103,128,225,761,1012,270,460,796,469,389,858,493
gene-RGQ29_000106,1030,657,766,2214,619,1475,2013,592,585,2531,618
gene-RGQ29_000109,160,0,46,176,90,37,183,35,29,167,67
gene-RGQ29_000110,16,24,48,59,7,11,30,30,16,45,54
gene-RGQ29_000114,1129,111,5,1390,50,1666,204,34,0,617,50
gene-RGQ29_000115,214,219,366,520,131,392,280,236,164,477,207
gene-RGQ29_000116,453,3540,792,628,236,984,749,367,249,694,642
gene-RGQ29_000117,3348,2467,1754,5323,1074,3297,1838,1131,754,2755,1120
gene-RGQ29_000118,174,68,104,193,56,79,86,86,112,152,97
gene-RGQ29_000121,78,142,316,624,89,105,240,195,130,485,107
gene-RGQ29_000122,15,15,58,109,23,31,58,50,37,109,23
gene-RGQ29_000123,83,95,347,533,99,380,294,218,161,387,256
gene-RGQ29_000125,0,0,5,1,4,1,3,0,3,0,0
gene-RGQ29_000124,535,629,1431,1911,433,1119,1340,747,615,1603,600
gene-RGQ29_000126,41,21,5,22,38,23507,89,6,0,18,5
gene-RGQ29_000127,31,15,5,19,29,19668,73,4,0,13,4
gene-RGQ29_000128,519,353,898,1426,520,4077,1362,658,385,1143,1060
gene-RGQ29_000129,55,26,142,165,92,654,199,75,62,162,170
gene-RGQ29_000131,7,0,65,202,48,590,53,69,25,1231,44
gene-RGQ29_000132,173,261,408,481,112,272,290,234,206,449,225
gene-RGQ29_000134,0,0,0,4,0,0,0,0,0,0,0
gene-RGQ29_000133,139,50,327,425,139,131,254,171,109,390,162
gene-RGQ29_000135,486,1849,407,307,148,740,355,193,129,311,408
gene-RGQ29_000138,155,501,466,534,188,232,381,262,189,538,399
gene-RGQ29_000139,0,0,0,0,0,52,0,0,0,0,0
gene-RGQ29_000141,270,432,1451,659,414,234,1123,890,844,661,1275
gene-RGQ29_000142,0,0,0,0,0,0,0,0,0,0,0
gene-RGQ29_000143,117,213,243,337,42,260,210,129,117,301,281
gene-RGQ29_000144,567,5985,1242,903,425,844,1335,564,391,804,591
gene-RGQ29_000146,168,139,310,543,152,343,335,201,124,526,245
gene-RGQ29_000145,3093,3741,7947,10391,3755,7234,10037,6568,4335,8321,7729
gene-RGQ29_000147,266,514,1068,727,373,1143,905,705,430,577,1266
gene-RGQ29_000149,0,0,0,0,0,1194,0,0,0,0,0
gene-RGQ29_000151,258,52,256,612,197,1268,478,167,110,573,504
gene-RGQ29_000150,176,3923,509,352,116,150,350,290,145,302,95
gene-RGQ29_000152,292,191,768,1202,541,691,922,550,371,824,469
gene-RGQ29_000153,38,199,140,61,1062,38,3336,100,86,27,353
gene-RGQ29_000155,110,363,635,612,139,422,396,378,275,573,447
gene-RGQ29_000156,157,46,112,531,46,229,147,77,49,374,96
