QsLBD,gene_id,SRR5986737,SRR5986738,SRR5986739,SRR5986740,SRR5986741
QsLBD1,gene-LOC112040411|LOC112040411,0,0,0,0,9
QsLBD2,gene-LOC112032524|LOC112032524,16,4669,53,62,20
QsLBD3,gene-LOC111998864|LOC111998864,44,0,0,24,0
QsLBD4,gene-LOC112000770|LOC112000770,5126,18924,25,6237,0
QsLBD5,gene-LOC112004483|LOC112004483,0,0,0,0,0
QsLBD6,gene-LOC112039894|LOC112039894,112681,117739,49677,50576,141
QsLBD7,gene-LOC112037478|LOC112037478,73683,3285,81368,3426,136
QsLBD8,gene-LOC111996809|LOC111996809,103,10,0,18,0
QsLBD9,gene-LOC112035674|LOC112035674,0,30,0,56,0
QsLBD10,gene-LOC112034034|LOC112034034,1169,16857,784,13333,37
QsLBD11,gene-LOC111997151|LOC111997151,645,104,1918,140,0
QsLBD12,gene-LOC112039779|LOC112039779,163,353,268,206,0
QsLBD13,gene-LOC111994398|LOC111994398,260,547,10,57,0
QsLBD14,gene-LOC112026683|LOC112026683,201,3158,0,171,0
QsLBD15,gene-LOC112024503|LOC112024503,26854,6979,12560,11258,0
QsLBD16,gene-LOC111999436|LOC111999436,6384,1329,37008,5024,0
QsLBD17,gene-LOC112017957|LOC112017957,8,134,5,5,0
QsLBD18,gene-LOC112022988|LOC112022988,6283,605,348,147,0
QsLBD19,gene-LOC111987550|LOC111987550,11,921,73,12,9
QsLBD20,gene-LOC112038775|LOC112038775,36,342,5,1964,0
QsLBD21,gene-LOC112035510|LOC112035510,3515,9929,129050,591,5
QsLBD22,gene-LOC112015546|LOC112015546,34,998,119,16,3
QsLBD23,gene-LOC112016070|LOC112016070,1130,4113,387,3346,1270
QsLBD24,gene-LOC112016061|LOC112016061,13381,1525,2110,2250,18194
QsLBD25,gene-LOC112003507|LOC112003507,35,0,0,9,0
QsLBD26,gene-LOC111987448|LOC111987448,10466,124,57,196,0
QsLBD27,gene-LOC112036590|LOC112036590,710,313,145,13,0
QsLBD28,gene-LOC112004479|LOC112004479,0,1751,0,5,0
QsLBD29,gene-LOC112004478|LOC112004478,0,7,5,0,0
QsLBD30,gene-LOC112040064|LOC112040064,0,0,81,0,0
QsLBD31,gene-LOC112040573|LOC112040573,0,0,0,0,68144
QsLBD32,gene-LOC112023221|LOC112023221,0,0,0,0,0
QsLBD33,gene-LOC111997599|LOC111997599,0,0,0,0,71
QsLBD34,gene-LOC112041157|LOC112041157,0,0,0,0,0
QsLBD35,gene-LOC112017626|LOC112017626,0,0,11,0,8158
QsLBD36,gene-LOC112016292|LOC112016292,0,0,6,0,109
QsLBD37,gene-LOC112000143|LOC112000143,0,0,7,20,125
