gene_id,SRR5986737,SRR5986738,SRR5986739,SRR5986740,SRR5986741
gene-LOC112016752|LOC112016752,0,0,0,0,0
gene-LOC136068793|LOC136068793,14085,20002,13647,10612,432
gene-LOC112020152|LOC112020152,0,29,0,0,19
gene-LOC136066249|LOC136066249,5846,5827,4876,3203,93
gene-LOC112007227|LOC112007227,713,3251,295,644,66
gene-LOC112007274|LOC112007274,8156,12024,6276,4962,30413
gene-LOC136066424|LOC136066424,42305,42,34,548,0
gene-LOC112032770|LOC112032770,50884,55472,20806,30587,9021
gene-LOC136066495|LOC136066495,1491,3747,1891,2679,470
gene-LOC112029265|LOC112029265,27814,18888,369,43965,75
gene-LOC136066513|LOC136066513,784,443,215,461,425
gene-LOC112006589|LOC112006589,1357,762,92,2059,0
gene-LOC111986933|LOC111986933,318,2333,8415,1400,0
gene-LOC112021754|LOC112021754,4760,6927,17507,7598,1660
gene-LOC111986928|LOC111986928,5378,21598,180384,2430,1938
gene-LOC112000676|LOC112000676,0,0,8,0,1232188
gene-LOC112000680|LOC112000680,0,0,7,8,1087422
gene-LOC136066593|LOC136066593,342,280,922,1289,0
gene-LOC111986927|LOC111986927,17142,12227,19560,26917,18
gene-LOC112031569|LOC112031569,42,1382,26,90,0
gene-LOC112031576|LOC112031576,21910,51632,8308,15119,6073
gene-LOC112028955|LOC112028955,30557,8659,2984,299,640
gene-LOC112028957|LOC112028957,38151,26439,2497,60058,5220
gene-LOC112028953|LOC112028953,5100,5183,986,6295,1029
gene-LOC136066742|LOC136066742,1551,1582,440,1664,69
gene-LOC111992305|LOC111992305,355,6198,307,498,3479
gene-LOC136068468|LOC136068468,148,1324,115,156,636
gene-LOC111992298|LOC111992298,8505,7831,1635,11194,2408
gene-LOC112041175|LOC112041175,13495,17279,10736,8737,6347
gene-LOC112041173|LOC112041173,28044,36766,21898,23034,4522
gene-LOC112041178|LOC112041178,4474,7795,4561,4006,930
gene-LOC112041166|LOC112041166,42638,55971,47079,21189,33371
gene-LOC112022354|LOC112022354,315,760,57,4823,0
gene-LOC112029438|LOC112029438,2,1034,0,547,0
gene-LOC112041176|LOC112041176,19780,21837,6373,10064,9
gene-LOC112029418|LOC112029418,58,32,0,60,70
gene-LOC136067290|LOC136067290,43,25,0,38,49
gene-LOC112029430|LOC112029430,1614,41355,31,500,0
gene-LOC112028347|LOC112028347,3598,5650,3328,6057,0
gene-LOC112028378|LOC112028378,431,288,5278,224,0
gene-LOC112028346|LOC112028346,9767,31803,1101,13853,39
gene-LOC112028377|LOC112028377,6,7,515,0,0
gene-LOC112028315|LOC112028315,2397,2617,1103,6196,462
gene-LOC112028352|LOC112028352,1551,2190,501,5558,3
gene-LOC112028356|LOC112028356,1624,2808,908,1365,3334
gene-LOC112038359|LOC112038359,1473,1890,1168,1192,986
gene-LOC112038351|LOC112038351,25447,52411,14415,35197,4286
gene-LOC112038363|LOC112038363,1548,280,766,186,5
gene-LOC112038362|LOC112038362,9663,9848,928,7022,168
gene-LOC136070273|LOC136070273,0,0,0,0,0
gene-LOC112020161|LOC112020161,17,0,0,25,11
gene-LOC112020163|LOC112020163,0,0,0,0,0
gene-LOC112020179|LOC112020179,5,356,0,0,0
gene-LOC112038355|LOC112038355,0,0,6,0,0
gene-LOC112038361|LOC112038361,34377,33812,29768,21064,7636
gene-LOC136067446|LOC136067446,3198,8823,1187,8010,0
gene-LOC136067483|LOC136067483,4976,6341,4087,5991,237
gene-LOC136067500|LOC136067500,5735,12059,10468,3882,4404
gene-LOC111996828|LOC111996828,6,0,0,0,0
gene-LOC111996829|LOC111996829,19,53,89,99,58
gene-LOC136067529|LOC136067529,12904,24324,19424,10971,5279
gene-LOC112035311|LOC112035311,7,10,22,0,0
gene-LOC112016503|LOC112016503,25,3,74,7,25
gene-LOC112016499|LOC112016499,9,104,81,3,0
gene-LOC111996826|LOC111996826,40016,61959,75424,81538,1237
gene-LOC136067613|LOC136067613,0,0,0,0,0
gene-LOC136067658|LOC136067658,606,788,189,1823,98
gene-LOC112016498|LOC112016498,865,1983,1968,390,89
gene-LOC112016496|LOC112016496,1215,1863,1905,1607,1218
gene-LOC112016504|LOC112016504,6,44,71,7,0
gene-LOC112016507|LOC112016507,3181,5424,5910,1252,484
gene-LOC136061760|LOC136061760,2,2,15,0,0
gene-LOC112037239|LOC112037239,0,0,9,0,0
gene-LOC112032916|LOC112032916,98,0,3,0,0
gene-LOC112016506|LOC112016506,16047,5366,5103,2851,409
gene-LOC112024619|LOC112024619,338,349,9560,645,57
gene-LOC112024617|LOC112024617,112425,144511,93779,65051,7893
gene-LOC112024610|LOC112024610,72441,95529,74817,41851,4355
gene-LOC112024615|LOC112024615,96532,3055,282,14210,2
gene-LOC112024624|LOC112024624,32583,25931,4067,36410,0
gene-LOC112040733|LOC112040733,12,25,8,4,1
gene-LOC112040731|LOC112040731,71731,116432,163125,44876,9542
gene-LOC112040732|LOC112040732,17794,10994,43684,18931,81495
gene-LOC136067964|LOC136067964,42,31,582,15,14
gene-LOC112010760|LOC112010760,2649,21,404,284,26
gene-LOC136068714|LOC136068714,42,113,49,55,245
gene-LOC136068019|LOC136068019,300,723,410,665,344
gene-LOC112010759|LOC112010759,921,0,77,193,26
gene-LOC136061183|LOC136061183,14907,12844,15069,11314,2262
gene-LOC112036017|LOC112036017,11534,10185,10451,8887,2931
gene-LOC112034283|LOC112034283,18645,7904,2296,8854,481
gene-LOC112034287|LOC112034287,7718,256062,15754,19793,27
gene-LOC112034349|LOC112034349,632,5029,35458,240,0
gene-LOC112034351|LOC112034351,1477,1095,14651,3145,0
gene-LOC112034344|LOC112034344,28767,35723,22512,18244,17137
gene-LOC136065133|LOC136065133,10,0,3,2,0
gene-LOC112034285|LOC112034285,16,46,56,5,239
gene-LOC136068139|LOC136068139,2779,1989,493,7407,0
gene-LOC136068761|LOC136068761,67,72,93,90,5
gene-LOC136068774|LOC136068774,2415,382,682,529,0
gene-LOC112028199|LOC112028199,325,10,44,107,215
gene-LOC112022464|LOC112022464,101,33,82,35,27
gene-LOC112022180|LOC112022180,21,47,3,105,0
gene-LOC112022190|LOC112022190,1624,1689,266,1832,61
gene-LOC112028312|LOC112028312,22861,52374,33866,23629,12613
gene-LOC112022159|LOC112022159,21020,32796,27103,14114,16239
gene-LOC112021945|LOC112021945,5379,6667,3128,4040,974
gene-LOC112022151|LOC112022151,7881,5088,4737,4286,18814
gene-LOC111996973|LOC111996973,37918,60201,62216,31834,14684
gene-LOC136063647|LOC136063647,11,4,54,23,1591
gene-LOC136063663|LOC136063663,0,18,67,10,0
gene-LOC112040959|LOC112040959,127,239,89,272,69
gene-LOC136070000|LOC136070000,82,366,74,159,21
gene-LOC111999762|LOC111999762,856,2594,687,3018,384
gene-LOC111999850|LOC111999850,109,394,97,129,13
gene-LOC111986275|LOC111986275,3549,955,493,576,589
gene-LOC111996970|LOC111996970,93808,106216,59938,54441,7415
gene-LOC111991485|LOC111991485,24641,33746,23410,26718,3753
gene-LOC136064255|LOC136064255,54,99,50,89,550
gene-LOC111994085|LOC111994085,5113,7898,29090,7652,10349
gene-LOC112038212|LOC112038212,5,12,2,20,0
gene-LOC112038196|LOC112038196,16,13,13,51,0
gene-LOC112038584|LOC112038584,5604,6520,4153,4134,747
gene-LOC112038493|LOC112038493,87462,120113,23613,39277,93343
gene-LOC136064273|LOC136064273,0,231,330,0,0
gene-LOC136070178|LOC136070178,1319,1676,119,2758,13
gene-LOC112038179|LOC112038179,208,85,47,282,10
gene-LOC136070248|LOC136070248,396,58,29,376,0
gene-LOC112007192|LOC112007192,939,1063,1558,1139,268
gene-LOC136070227|LOC136070227,500,1258,576,767,86
gene-LOC136063903|LOC136063903,3,0,0,1,0
gene-LOC112000095|LOC112000095,75416,102450,306696,34747,32954
gene-LOC112000096|LOC112000096,8069,22129,14244,6332,414
gene-LOC112036233|LOC112036233,4819,1049,1213,12151,0
gene-LOC111990125|LOC111990125,692,21169,1557,947,54
gene-LOC136064307|LOC136064307,423,338,54,286,0
gene-LOC112008813|LOC112008813,3,42,43,28,35
gene-LOC111990128|LOC111990128,31,776,33948,108,3416
gene-LOC111990127|LOC111990127,8886,7194,2013,8049,287
gene-LOC111990151|LOC111990151,3649,7171,1499,2002,0
gene-LOC111990126|LOC111990126,48944,3348,12059,28685,0
gene-LOC111990132|LOC111990132,788,387,523,1502,9
gene-LOC111990165|LOC111990165,5813,4082,3448,9653,1913
gene-LOC136064100|LOC136064100,1346,906,821,1926,332
gene-LOC111990166|LOC111990166,5142,1274,3642,3285,0
gene-LOC111990131|LOC111990131,5359,22277,5425,5363,330
gene-LOC111990144|LOC111990144,6740,1024,49,423,0
gene-LOC111993352|LOC111993352,8434,6119,3771,15312,7130
gene-LOC111993362|LOC111993362,779,593,7769,442,1498
gene-LOC111993380|LOC111993380,3952,397,524,1479,176
gene-LOC111993381|LOC111993381,2018,701,1703,1338,18
gene-LOC111993354|LOC111993354,2840,6987,3313,4434,2517
gene-LOC136070819|LOC136070819,849,639,523,1139,10
gene-LOC111993364|LOC111993364,563,59,435,2815,0
gene-LOC112024655|LOC112024655,497,873,218,2488,177
gene-LOC111993130|LOC111993130,85423,66823,51712,52957,31324
gene-LOC112018923|LOC112018923,7258,315,39,972,0
gene-LOC136070962|LOC136070962,1233,2658,8,21514,0
gene-LOC112018922|LOC112018922,1265,2583,9,21367,0
gene-LOC112018925|LOC112018925,0,2,0,0,1
gene-LOC112018921|LOC112018921,12000,27827,8904,19789,3183
gene-LOC136064801|LOC136064801,1,0,0,2,0
gene-LOC112018920|LOC112018920,5132,5407,3019,6601,3267
gene-LOC112033528|LOC112033528,19446,5821,9742,10975,2501
gene-LOC112033540|LOC112033540,15479,16741,19047,6816,798
gene-LOC112010059|LOC112010059,1003,449,126,1153,165
gene-LOC112033542|LOC112033542,12544,88527,151768,20836,22636
gene-LOC112010051|LOC112010051,32,0,14,8,0
gene-LOC111986860|LOC111986860,0,0,0,0,0
gene-LOC111986895|LOC111986895,8295,20,84,3243,19
gene-LOC111986857|LOC111986857,1,4,19,2,0
gene-LOC136064354|LOC136064354,25,91,6,54,12
gene-LOC111986901|LOC111986901,679,433,77,3181,0
gene-LOC111986884|LOC111986884,19900,9571,8434,20469,4537
gene-LOC111986889|LOC111986889,3181,721,671,4199,0
gene-LOC111986874|LOC111986874,6395,566,185,7422,35
gene-LOC111986873|LOC111986873,16267,24231,11617,20014,5836
gene-LOC136061294|LOC136061294,2737,0,0,379,0
gene-LOC136071369|LOC136071369,76,79,0,23,0
gene-LOC112013252|LOC112013252,15094,8723,457,5222,42
gene-LOC136071403|LOC136071403,42,11,0,13,20
gene-LOC111988914|LOC111988914,1519,473,337,129,28223
gene-LOC112004703|LOC112004703,70,18,50,406,0
gene-LOC112012464|LOC112012464,3047,733,759,2970,0
gene-LOC112009430|LOC112009430,9496,2448,1242,49383,464
gene-LOC112021105|LOC112021105,103,1344,428,48,0
gene-LOC112006499|LOC112006499,2393,6184,222,5561,291
gene-LOC112006582|LOC112006582,337,5319,816,92,0
gene-LOC112023300|LOC112023300,0,0,0,0,0
gene-LOC112006515|LOC112006515,267,421,33,405,0
gene-LOC112006517|LOC112006517,22,21,13,60,0
gene-LOC112022566|LOC112022566,31391,16826,1869,29668,25
gene-LOC112006562|LOC112006562,3356,1902,2156,2451,350
gene-LOC112006585|LOC112006585,355,389,1867,497,0
gene-LOC136064437|LOC136064437,72,55,369,87,0
gene-LOC112006504|LOC112006504,3797,11560,1114,3989,86
gene-LOC111992015|LOC111992015,19,15,54,37,0
gene-LOC112006542|LOC112006542,25099,19724,17582,28583,11848
gene-LOC112013990|LOC112013990,30116,49285,5296,53781,2991
gene-LOC111994655|LOC111994655,0,12,0,0,65
gene-LOC136068891|LOC136068891,0,12,0,0,69
gene-LOC136061883|LOC136061883,10693,7154,1833,4637,1
gene-LOC136061930|LOC136061930,13,13,107,0,30
gene-LOC111994993|LOC111994993,31,62,424,13,144
gene-LOC136064493|LOC136064493,100,87,9,366,38
gene-LOC111995063|LOC111995063,16501,17156,7745,2224,0
gene-LOC136062013|LOC136062013,190,316,11,1030,0
gene-LOC111994982|LOC111994982,2598,3085,104,2653,80
gene-LOC111994809|LOC111994809,459,1115,30749,179,537
gene-LOC136061984|LOC136061984,1469,2093,843,1548,605
gene-LOC112000171|LOC112000171,2605,4264,20496,1197,892
gene-LOC112032340|LOC112032340,36,151,2635,0,1433
gene-LOC136068943|LOC136068943,240,1910,27718,538,1021
gene-LOC111995945|LOC111995945,105,566,14125,40,207
gene-LOC136068958|LOC136068958,387,359,155,323,152
gene-LOC111991854|LOC111991854,2264,2473,1263,3297,1168
gene-LOC112035819|LOC112035819,38490,60593,68445,33968,2784
gene-LOC111994308|LOC111994308,141,204,221510,523,61
gene-LOC111994307|LOC111994307,5,32,10947,30,0
gene-LOC136064541|LOC136064541,134,247,179754,378,0
gene-LOC136064561|LOC136064561,687,508,175,616,47
gene-TRNAP-UGG|TRNAP-UGG,1,1,0,1,0
gene-LOC112035826|LOC112035826,30533,53845,22332,47214,138
gene-LOC136069067|LOC136069067,1,0,6,1,116
gene-LOC111996047|LOC111996047,0,41,0,124,0
gene-LOC136062238|LOC136062238,168,224,217,216,4946
