Name,GeneId (Phytozome),Locus,Class,Chromosome,Start,End,Length (aa),MW (kDa),pI,Instability,Aliphatic,GRAVY,Localisation,Sub-isoform of,Old name (chapter)
QrLBD1,Qurub.01G008700.1,Qurub.01G008700,Class Ib,LG1,643715,648014,210,23348.27,8.24,53.81,73.48,-0.459,C:nucleus,,QrLBD1
QrLBD1.1,Qurub.01G008700.2,Qurub.01G008700,Class Ib,LG1,643715,648014,210,23348.27,8.24,53.81,73.48,-0.493,C:nucleus,QrLBD1,QrLBD1.1
QrLBD2,Qurub.01G026200.1,Qurub.01G026200,Class IIa,LG1,10298655,10300635,235,26063.86,8.43,43.78,91.66,-0.211,C:nucleus,,QrLBD2
QrLBD3,Qurub.01G031900.1,Qurub.01G031900,Class Ia,LG1,12449029,12449701,165,18457.98,5.87,53.32,82.12,-0.224,C:nucleus,,QrLBD3
QrLBD4,Qurub.01G045900.1,Qurub.01G045900,Class Ia,LG1,15813364,15815425,204,22290.28,5.89,64.15,71.81,-0.295,Nucleus,,QrLBD4
QrLBD5,Qurub.01G089600.1,Qurub.01G089600,Class Ic,LG1,25407769,25409087,235,25569.16,9.28,79.61,72.68,-0.368,Nucleus,,QrLBD5
QrLBD6,Qurub.02G006000.1,Qurub.02G006000,Class Ie,LG2,915987,916844,233,26250.29,5.66,52.32,70.7,-0.6,C:nucleus,,QrLBD6
QrLBD7,Qurub.02G211900.1,Qurub.02G211900,Class IIa,LG2,45330542,45332250,287,30920.38,8.73,50.43,79.2,-0.253,C:nucleus,,QrLBD7
QrLBD8,Qurub.02G241600.1,Qurub.02G241600,Class Ie,LG2,52789402,52792902,258,28969.27,6.01,41.08,63.57,-0.838,Nucleus,,QrLBD8
QrLBD9,Qurub.02G301700.1,Qurub.02G301700,Class Ib,LG2,64843826,64846020,169,18694.86,6.42,65.66,55.5,-0.621,Nucleus,,QrLBD9
QrLBD10,Qurub.02G327400.1,Qurub.02G327400,Class Ie,LG2,69741894,69743232,276,31583.7,8.86,51.06,67.9,-0.733,C:nucleus,,QrLBD10
QrLBD11,Qurub.04G220200.1,Qurub.04G220200,Class Ia,LG4,57375498,57380114,165,18348.86,7.6,71.44,65.03,-0.437,Nucleus,,QrLBD11
QrLBD12,Qurub.04G249400.1,Qurub.04G249400,Class Ic,LG4,67723171,67724878,168,19150.54,6.05,83.51,65.06,-0.523,nuclues,,QrLBD12
QrLBD13,Qurub.05G016800.1,Qurub.05G016800,Class Ic,LG5,3812866,3814507,170,19228.69,5.69,81.92,69.47,-0.47,Nucleus,,QrLBD13
QrLBD14,Qurub.05G016900.1,Qurub.05G016900,Class Ic,LG5,3875882,3877442,133,15002.18,7.65,79.9,74.89,-0.411,Nucleus,,QrLBD14
QrLBD15,Qurub.05G017000.1,Qurub.05G017000,Class Ic,LG5,3920851,3922337,170,19233.62,5.47,81.45,65.47,-0.426,Nucleus,,QrLBD15
QrLBD16,Qurub.05G017100.1,Qurub.05G017100,Class Ic,LG5,3953478,3954913,151,16758.14,8.47,73.96,73.05,-0.449,Nucleus,,QrLBD16
QrLBD17,Qurub.05G017300.1,Qurub.05G017300,Class Ic,LG5,4054796,4056571,170,19361.8,5.54,81.78,71.44,-0.511,Nucleus,,QrLBD17
QrLBD18,Qurub.05G017700.1,Qurub.05G017700,Class Ic,LG5,4226005,4227725,170,19409.85,6.19,78.17,65.47,-0.548,Nucleus,,QrLBD18
QrLBD19,Qurub.05G099900.1,Qurub.05G099900,Class Ia,LG5,21003252,21006427,171,18500.04,8.25,62.79,70.7,-0.284,Nucleus,,QrLBD19
QrLBD19.1,Qurub.05G099900.2,Qurub.05G099900,Class Ia,LG5,21003252,21006427,165,17917.34,8.58,68.26,65.03,-0.367,Nucleus,QrLBD19,QrLBD25
QrLBD19.2,Qurub.05G099900.3,Qurub.05G099900,Class Ia,LG5,21003252,21006427,169,18286.81,8.25,63.42,69.82,-0.291,Nucleus,QrLBD19,QrLBD27
QrLBD20,Qurub.05G253500.1,Qurub.05G253500,Class Ie,LG5,61859244,61861125,277,31346.94,5.42,49.54,77.15,-0.626,Nucleus,,QrLBD20
QrLBD21,Qurub.06G061100.1,Qurub.06G061100,Class Ib,LG6,10361225,10364691,280,31037.71,6.7,57.87,71.5,-0.606,Nucleus,,QrLBD21
QrLBD22,Qurub.06G061200.1,Qurub.06G061200,Class Ib,LG6,10377498,10381996,306,33856.86,6.52,63.99,63.56,-0.679,Nucleus,,QrLBD24
QrLBD22.1,Qurub.06G061200.2,Qurub.06G061200,Class Ib,LG6,10377498,10381996,306,33856.86,6.52,63.99,63.56,-0.679,Nucleus,QrLBD22,QrLBD24.1
QrLBD23,Qurub.06G061500.1,Qurub.06G061500,Class Ib,LG6,10412949,10413491,180,19843.71,8.85,58.59,70,-413,Nucleus,,QrLBD22
