rna_id,gene_id,QrLBDs_old,QrLBDs_new,status
rna-Qurub.01G008700.1.v2.1,gene-RGQ29_000087,QrLBD1,QrLBD1,primary
rna-Qurub.01G008700.2.v2.1,gene-RGQ29_000087,QrLBD1.1,QrLBD1.1,sub-isoform
rna-Qurub.01G026200.1.v2.1,gene-RGQ29_000262,QrLBD2,QrLBD2,primary
rna-Qurub.01G031900.1.v2.1,gene-RGQ29_000319,QrLBD3,QrLBD3,primary
rna-Qurub.01G045900.1.v2.1,gene-RGQ29_000459,QrLBD4,QrLBD4,primary
rna-Qurub.01G089600.1.v2.1,gene-RGQ29_000896,QrLBD5,QrLBD5,primary
rna-Qurub.02G006000.1.v2.1,gene-RGQ29_009235,QrLBD6,QrLBD6,primary
rna-Qurub.02G211900.1.v2.1,gene-RGQ29_011294,QrLBD7,QrLBD7,primary
rna-Qurub.02G241600.1.v2.1,gene-RGQ29_011591,QrLBD8,QrLBD8,primary
rna-Qurub.02G301700.1.v2.1,gene-RGQ29_012192,QrLBD9,QrLBD9,primary
rna-Qurub.02G327400.1.v2.1,gene-RGQ29_012449,QrLBD10,QrLBD10,primary
rna-Qurub.04G220200.1.v2.1,gene-RGQ29_018332,QrLBD11,QrLBD11,primary
rna-Qurub.04G249400.1.v2.1,gene-RGQ29_018624,QrLBD12,QrLBD12,primary
rna-Qurub.05G016800.1.v2.1,gene-RGQ29_018955,QrLBD13,QrLBD13,primary
rna-Qurub.05G016900.1.v2.1,gene-RGQ29_018956,QrLBD14,QrLBD14,primary
rna-Qurub.05G017000.1.v2.1,gene-RGQ29_018957,QrLBD15,QrLBD15,primary
rna-Qurub.05G017100.1.v2.1,gene-RGQ29_018958,QrLBD16,QrLBD16,primary
rna-Qurub.05G017300.1.v2.1,gene-RGQ29_018960,QrLBD17,QrLBD17,primary
rna-Qurub.05G017700.1.v2.1,gene-RGQ29_018964,QrLBD18,QrLBD18,primary
rna-Qurub.05G099900.1.v2.1,gene-RGQ29_019786,QrLBD19,QrLBD19,primary
rna-Qurub.05G099900.2.v2.1,gene-RGQ29_019786,QrLBD20,QrLBD19.1,sub-isoform
rna-Qurub.05G099900.3.v2.1,gene-RGQ29_019786,QrLBD21,QrLBD19.2,sub-isoform
rna-Qurub.05G253500.1.v2.1,gene-RGQ29_021322,QrLBD22,QrLBD20,primary
rna-Qurub.06G061100.1.v2.1,gene-RGQ29_022295,QrLBD23,QrLBD21,primary
rna-Qurub.06G061200.2.v2.1,gene-RGQ29_022296,QrLBD24,QrLBD22,primary
rna-Qurub.06G061200.1.v2.1,gene-RGQ29_022296,QrLBD24.1,QrLBD22.1,sub-isoform
rna-Qurub.06G061500.1.v2.1,gene-RGQ29_022299,QrLBD25,QrLBD23,primary
rna-Qurub.06G081500.1.v2.1,gene-RGQ29_022499,QrLBD26,QrLBD24,primary
rna-Qurub.07G061200.1.v2.1,gene-RGQ29_024878,QrLBD27,QrLBD25,primary
rna-Qurub.08G160300.1.v2.1,gene-RGQ29_028005,QrLBD28,QrLBD26,primary
rna-Qurub.08G185800.1.v2.1,gene-RGQ29_028260,QrLBD29,QrLBD27,primary
rna-Qurub.08G217900.1.v2.1,gene-RGQ29_028581,QrLBD30,QrLBD28,primary
rna-Qurub.08G218000.1.v2.1,gene-RGQ29_028582,QrLBD31,QrLBD29,primary
rna-Qurub.08G266300.1.v2.1,gene-RGQ29_029065,QrLBD32,QrLBD30,primary
rna-Qurub.08G288800.1.v2.1,gene-RGQ29_029290,QrLBD33,QrLBD31,primary
rna-Qurub.08G291100.1.v2.1,gene-RGQ29_029313,QrLBD34,QrLBD32,primary
rna-Qurub.08G295100.1.v2.1,gene-RGQ29_029353,QrLBD35,QrLBD33,primary
rna-Qurub.09G077600.1.v2.1,gene-RGQ29_030226,QrLBD36,QrLBD34,primary
rna-Qurub.09G108800.1.v2.1,gene-RGQ29_030538,QrLBD37,QrLBD35,primary
rna-Qurub.09G166700.1.v2.1,gene-RGQ29_031117,QrLBD38,QrLBD36,primary
rna-Qurub.09G166800.1.v2.1,gene-RGQ29_031118,QrLBD39,QrLBD37,primary
rna-Qurub.10G119300.1.v2.1,gene-RGQ29_003467,QrLBD40,QrLBD38,primary
rna-Qurub.10G169600.1.v2.1,gene-RGQ29_003970,QrLBD41,QrLBD39,primary
rna-Qurub.10G195300.2.v2.1,gene-RGQ29_004227,QrLBD42,QrLBD40,primary
rna-Qurub.10G195300.1.v2.1,gene-RGQ29_004227,QrLBD42.1,QrLBD40.1,sub-isoform
rna-Qurub.11G111700.1.v2.1,gene-RGQ29_005754,QrLBD43,QrLBD41,primary
rna-Qurub.12G179700.1.v2.1,gene-RGQ29_008846,QrLBD44,QrLBD42,primary
