Name,rna_id,gene_id,GeneId (Phytozome),Locus,Class,Chromosome,Start,End,Length (aa),MW (kDa),pI,Instability,Aliphatic,GRAVY,Localisation,Sub-isoform of
QrLBD1,rna-Qurub.01G008700.1.v2.1,gene-RGQ29_000087,Qurub.01G008700.1,Qurub.01G008700,Class Ib,LG1,643715,648014,210,23348.27,8.24,53.81,73.48,-0.459,C:nucleus,
QrLBD1.1,rna-Qurub.01G008700.2.v2.1,gene-RGQ29_000087,Qurub.01G008700.2,Qurub.01G008700,Class Ib,LG1,643715,648014,210,23348.27,8.24,53.81,73.48,-0.493,C:nucleus,QrLBD1
QrLBD2,rna-Qurub.01G026200.1.v2.1,gene-RGQ29_000262,Qurub.01G026200.1,Qurub.01G026200,Class IIa,LG1,10298655,10300635,235,26063.86,8.43,43.78,91.66,-0.211,C:nucleus,
QrLBD3,rna-Qurub.01G031900.1.v2.1,gene-RGQ29_000319,Qurub.01G031900.1,Qurub.01G031900,Class Ia,LG1,12449029,12449701,165,18457.98,5.87,53.32,82.12,-0.224,C:nucleus,
QrLBD4,rna-Qurub.01G045900.1.v2.1,gene-RGQ29_000459,Qurub.01G045900.1,Qurub.01G045900,Class Ia,LG1,15813364,15815425,204,22290.28,5.89,64.15,71.81,-0.295,Nucleus,
QrLBD5,rna-Qurub.01G089600.1.v2.1,gene-RGQ29_000896,Qurub.01G089600.1,Qurub.01G089600,Class Ic,LG1,25407769,25409087,235,25569.16,9.28,79.61,72.68,-0.368,Nucleus,
QrLBD6,rna-Qurub.02G006000.1.v2.1,gene-RGQ29_009235,Qurub.02G006000.1,Qurub.02G006000,Class Ie,LG2,915987,916844,233,26250.29,5.66,52.32,70.7,-0.6,C:nucleus,
QrLBD7,rna-Qurub.02G211900.1.v2.1,gene-RGQ29_011294,Qurub.02G211900.1,Qurub.02G211900,Class IIa,LG2,45330542,45332250,287,30920.38,8.73,50.43,79.2,-0.253,C:nucleus,
QrLBD8,rna-Qurub.02G241600.1.v2.1,gene-RGQ29_011591,Qurub.02G241600.1,Qurub.02G241600,Class Ie,LG2,52789402,52792902,258,28969.27,6.01,41.08,63.57,-0.838,Nucleus,
QrLBD9,rna-Qurub.02G301700.1.v2.1,gene-RGQ29_012192,Qurub.02G301700.1,Qurub.02G301700,Class Ib,LG2,64843826,64846020,169,18694.86,6.42,65.66,55.5,-0.621,Nucleus,
QrLBD10,rna-Qurub.02G327400.1.v2.1,gene-RGQ29_012449,Qurub.02G327400.1,Qurub.02G327400,Class Ie,LG2,69741894,69743232,276,31583.7,8.86,51.06,67.9,-0.733,C:nucleus,
QrLBD11,rna-Qurub.04G220200.1.v2.1,gene-RGQ29_018332,Qurub.04G220200.1,Qurub.04G220200,Class Ia,LG4,57375498,57380114,165,18348.86,7.6,71.44,65.03,-0.437,Nucleus,
QrLBD12,rna-Qurub.04G249400.1.v2.1,gene-RGQ29_018624,Qurub.04G249400.1,Qurub.04G249400,Class Ic,LG4,67723171,67724878,168,19150.54,6.05,83.51,65.06,-0.523,nuclues,
QrLBD13,rna-Qurub.05G016800.1.v2.1,gene-RGQ29_018955,Qurub.05G016800.1,Qurub.05G016800,Class Ic,LG5,3812866,3814507,170,19228.69,5.69,81.92,69.47,-0.47,Nucleus,
QrLBD14,rna-Qurub.05G016900.1.v2.1,gene-RGQ29_018956,Qurub.05G016900.1,Qurub.05G016900,Class Ic,LG5,3875882,3877442,133,15002.18,7.65,79.9,74.89,-0.411,Nucleus,
QrLBD15,rna-Qurub.05G017000.1.v2.1,gene-RGQ29_018957,Qurub.05G017000.1,Qurub.05G017000,Class Ic,LG5,3920851,3922337,170,19233.62,5.47,81.45,65.47,-0.426,Nucleus,
QrLBD16,rna-Qurub.05G017100.1.v2.1,gene-RGQ29_018958,Qurub.05G017100.1,Qurub.05G017100,Class Ic,LG5,3953478,3954913,151,16758.14,8.47,73.96,73.05,-0.449,Nucleus,
QrLBD17,rna-Qurub.05G017300.1.v2.1,gene-RGQ29_018960,Qurub.05G017300.1,Qurub.05G017300,Class Ic,LG5,4054796,4056571,170,19361.8,5.54,81.78,71.44,-0.511,Nucleus,
QrLBD18,rna-Qurub.05G017700.1.v2.1,gene-RGQ29_018964,Qurub.05G017700.1,Qurub.05G017700,Class Ic,LG5,4226005,4227725,170,19409.85,6.19,78.17,65.47,-0.548,Nucleus,
QrLBD19,rna-Qurub.05G099900.1.v2.1,gene-RGQ29_019786,Qurub.05G099900.1,Qurub.05G099900,Class Ia,LG5,21003252,21006427,171,18500.04,8.25,62.79,70.7,-0.284,Nucleus,
QrLBD19.1,rna-Qurub.05G099900.2.v2.1,gene-RGQ29_019786,Qurub.05G099900.2,Qurub.05G099900,Class Ia,LG5,21003252,21006427,165,17917.34,8.58,68.26,65.03,-0.367,Nucleus,QrLBD19
QrLBD19.2,rna-Qurub.05G099900.3.v2.1,gene-RGQ29_019786,Qurub.05G099900.3,Qurub.05G099900,Class Ia,LG5,21003252,21006427,169,18286.81,8.25,63.42,69.82,-0.291,Nucleus,QrLBD19
QrLBD20,rna-Qurub.05G253500.1.v2.1,gene-RGQ29_021322,Qurub.05G253500.1,Qurub.05G253500,Class Ie,LG5,61859244,61861125,277,31346.94,5.42,49.54,77.15,-0.626,Nucleus,
QrLBD21,rna-Qurub.06G061100.1.v2.1,gene-RGQ29_022295,Qurub.06G061100.1,Qurub.06G061100,Class Ib,LG6,10361225,10364691,280,31037.71,6.7,57.87,71.5,-0.606,Nucleus,
QrLBD22,rna-Qurub.06G061200.2.v2.1,gene-RGQ29_022296,Qurub.06G061200.1,Qurub.06G061200,Class Ib,LG6,10377498,10381996,306,33856.86,6.52,63.99,63.56,-0.679,Nucleus,
QrLBD22.1,rna-Qurub.06G061200.1.v2.1,gene-RGQ29_022296,Qurub.06G061200.2,Qurub.06G061200,Class Ib,LG6,10377498,10381996,306,33856.86,6.52,63.99,63.56,-0.679,Nucleus,QrLBD22
QrLBD23,rna-Qurub.06G061500.1.v2.1,gene-RGQ29_022299,Qurub.06G061500.1,Qurub.06G061500,Class Ib,LG6,10412949,10413491,180,19843.71,8.85,58.59,70,-413,Nucleus,
QrLBD24,rna-Qurub.06G081500.1.v2.1,gene-RGQ29_022499,Qurub.06G081500.1,Qurub.06G081500,Class IIb,LG6,13865606,13866888,219,24051.39,8.44,64.77,71.64,-0.345,C:nucleus,
QrLBD25,rna-Qurub.07G061200.1.v2.1,gene-RGQ29_024878,Qurub.07G061200.1,Qurub.07G061200,Class Id,LG7,15605608,15607631,234,25432.61,7.12,63.33,77.61,-0.293,Nucleus,
QrLBD26,rna-Qurub.08G160300.1.v2.1,gene-RGQ29_028005,Qurub.08G160300.1,Qurub.08G160300,Class Ie,LG8,39077478,39081096,221,24308.16,7.66,32.39,64.84,-0.615,Nucleus,
QrLBD27,rna-Qurub.08G185800.1.v2.1,gene-RGQ29_028260,Qurub.08G185800.1,Qurub.08G185800,Class Ia,LG8,43716951,43718110,177,19920.02,5.24,53.11,92.03,-0.086,C:nucleus,
QrLBD28,rna-Qurub.08G217900.1.v2.1,gene-RGQ29_028581,Qurub.08G217900.1,Qurub.08G217900,Class Id,LG8,49680074,49683948,241,24823.17,8.19,71.13,71.66,-0.124,Nucleus,
QrLBD29,rna-Qurub.08G218000.1.v2.1,gene-RGQ29_028582,Qurub.08G218000.1,Qurub.08G218000,Class Id,LG8,49705425,49709540,204,22304.27,7.13,55.95,77.01,-0.219,C:nucleus,
QrLBD30,rna-Qurub.08G266300.1.v2.1,gene-RGQ29_029065,Qurub.08G266300.1,Qurub.08G266300,Class Id,LG8,57030507,57031302,219,23869.82,5.4,42.06,80.27,-0.139,C:nucleus,
QrLBD31,rna-Qurub.08G288800.1.v2.1,gene-RGQ29_029290,Qurub.08G288800.1,Qurub.08G288800,Class Ib,LG8,60126853,60127895,177,19666.39,8.83,63.22,75.03,-0.268,Nucleus,
QrLBD32,rna-Qurub.08G291100.1.v2.1,gene-RGQ29_029313,Qurub.08G291100.1,Qurub.08G291100,Class Ia,LG8,60374246,60375342,165,18384.99,6.27,56.33,76.79,-0.184,C:nucleus,
QrLBD33,rna-Qurub.08G295100.1.v2.1,gene-RGQ29_029353,Qurub.08G295100.1,Qurub.08G295100,Class Ic,LG8,60995106,60997054,227,24916.11,8.6,73.67,64.54,-0.512,Nucleus,
QrLBD34,rna-Qurub.09G077600.1.v2.1,gene-RGQ29_030226,Qurub.09G077600.1,Qurub.09G077600,Class Ic,LG9,13010549,13011278,158,17824.02,5.74,62.11,77.22,-0.399,Nucleus,
QrLBD35,rna-Qurub.09G108800.1.v2.1,gene-RGQ29_030538,Qurub.09G108800.1,Qurub.09G108800,Class Id,LG9,19142895,19143705,232,25575.27,5.44,56.33,62.33,-0.435,Nucleus,
QrLBD36,rna-Qurub.09G166700.1.v2.1,gene-RGQ29_031117,Qurub.09G166700.1,Qurub.09G166700,Class Id,LG9,34623118,34624803,210,22875.19,8,62.63,74.86,-0.174,C:nucleus,
QrLBD37,rna-Qurub.09G166800.1.v2.1,gene-RGQ29_031118,Qurub.09G166800.1,Qurub.09G166800,Class Id,LG9,34651009,34651820,232,25625.45,6.7,59.92,62.33,-0.429,Nucleus,
QrLBD38,rna-Qurub.10G119300.1.v2.1,gene-RGQ29_003467,Qurub.10G119300.1,Qurub.10G119300,Class IIa,LG10,34587921,34589622,261,28228.87,6.32,39.79,80.77,-0.318,C:nucleus,
QrLBD39,rna-Qurub.10G169600.1.v2.1,gene-RGQ29_003970,Qurub.10G169600.1,Qurub.10G169600,Class Ie,LG10,44430689,44432165,290,32760.48,5.46,56.96,73.07,-0.561,C:nucleus,
QrLBD40,rna-Qurub.10G195300.2.v2.1,gene-RGQ29_004227,Qurub.10G195300.1,Qurub.10G195300,Class Ib,LG10,50541000,50543355,191,21072.92,6.89,62.26,65.92,-0.455,C:nucleus,
QrLBD40.1,rna-Qurub.10G195300.1.v2.1,gene-RGQ29_004227,Qurub.10G195300.2,Qurub.10G195300,Class Ib,LG10,50541000,50543355,191,21072.92,6.89,62.26,65.92,-0.455,C:nucleus,QrLBD40
QrLBD41,rna-Qurub.11G111700.1.v2.1,gene-RGQ29_005754,Qurub.11G111700.1,Qurub.11G111700,Class IIb,LG11,24004422,24005201,221,23889.47,9.06,58.24,81.63,-0.193,C:nucleus,
QrLBD42,rna-Qurub.12G179700.1.v2.1,gene-RGQ29_008846,Qurub.12G179700.1,Qurub.12G179700,Class IIb,LG12,33703949,33705582,207,22425.67,8.12,43,74.01,-0.008,C:chloroplast,
